"id","bookid","chapterid","verseno","versetext","imageurl","icon","tagrefs","verserefs","topicrefs","seqno","bookno"
25662,LUKE,11,17,"But he, knowing their thoughts, said unto them, <font fgcolor=""#FF4444"">Every kingdom divided against itself is brought to desolation; and a house divided against a house falleth.",,,,,,25662,42
25663,LUKE,11,18,"<font fgcolor=""#FF4444"">If Satan also be divided against himself, how shall his kingdom stand? because ye say that I cast out devils through Beelzebub.",,,,,,25663,42
25664,LUKE,11,19,"<font fgcolor=""#FF4444"">And if I by Beelzebub cast out devils, by whom do your sons cast them out? therefore shall they be your judges.",,,,,,25664,42
25665,LUKE,11,20,"<font fgcolor=""#FF4444"">But if I with the finger of God cast out devils, no doubt the kingdom of God is come upon you.",,,,,,25665,42
25666,LUKE,11,21,"<font fgcolor=""#FF4444"">When a strong man armed keepeth his palace, his goods are in peace:",,,,,,25666,42
25667,LUKE,11,22,"<font fgcolor=""#FF4444"">But when a stronger than he shall come upon him, and overcome him, he taketh from him all his armour wherein he trusted, and divideth his spoils.",,,,,,25667,42
25668,LUKE,11,23,"<font fgcolor=""#FF4444"">He that is not with me is against me: and he that gathereth not with me scattereth.",,,,,,25668,42
25669,LUKE,11,24,"<font fgcolor=""#FF4444"">When the unclean spirit is gone out of a man, he walketh through dry places, seeking rest; and finding none, he saith, I will return unto my house whence I came out.",,,,,,25669,42
25670,LUKE,11,25,"<font fgcolor=""#FF4444"">And when he cometh, he findeth it swept and garnished.",,,,,,25670,42
25671,LUKE,11,26,"<font fgcolor=""#FF4444"">Then goeth he, and taketh to him seven other spirits more wicked than himself; and they enter in, and dwell there: and the last state of that man is worse than the first.",,,,,,25671,42
25672,LUKE,11,27,"And it came to pass, as he spake these things, a certain woman of the company lifted up her voice, and said unto him, Blessed is the womb that bare thee, and the paps which thou hast sucked.",,,,,,25672,42
25673,LUKE,11,28,"But he said, <font fgcolor=""#FF4444"">Yea rather, blessed are they that hear the word of God, and keep it.",,,,,,25673,42
25674,LUKE,11,29,"And when the people were gathered thick together, he began to say, <font fgcolor=""#FF4444"">This is an evil generation: they seek a sign; and there shall no sign be given it, but the sign of Jonas the prophet.",,,,,,25674,42
25675,LUKE,11,30,"<font fgcolor=""#FF4444"">For as Jonas was a sign unto the Ninevites, so shall also the Son of man be to this generation.",,,,,,25675,42
25676,LUKE,11,31,"<font fgcolor=""#FF4444"">The queen of the south shall rise up in the judgment with the men of this generation, and condemn them: for she came from the utmost parts of the earth to hear the wisdom of Solomon; and, behold, a greater than Solomon is here.",,,,,,25676,42
25677,LUKE,11,32,"<font fgcolor=""#FF4444"">The men of Nineve shall rise up in the judgment with this generation, and shall condemn it: for they repented at the preaching of Jonas; and, behold, a greater than Jonas is here.",,,,,,25677,42
25678,LUKE,11,33,"<font fgcolor=""#FF4444"">No man, when he hath lighted a candle, putteth it in a secret place, neither under a bushel, but on a candlestick, that they which come in may see the light.",,,,,,25678,42
25679,LUKE,11,34,"<font fgcolor=""#FF4444"">The light of the body is the eye: therefore when thine eye is single, thy whole body also is full of light; but when thine eye is evil, thy body also is full of darkness.",,,,,,25679,42
25680,LUKE,11,35,"<font fgcolor=""#FF4444"">Take heed therefore that the light which is in thee be not darkness.",,,,,,25680,42
25681,LUKE,11,36,"<font fgcolor=""#FF4444"">If thy whole body therefore be full of light, having no part dark, the whole shall be full of light, as when the bright shining of a candle doth give thee light.",,,,,,25681,42
25682,LUKE,11,37,"And as he spake, a certain Pharisee besought him to dine with him: and he went in, and sat down to meat.",,,,,,25682,42
25683,LUKE,11,38,"And when the Pharisee saw it, he marvelled that he had not first washed before dinner.",,,,,,25683,42
25684,LUKE,11,39,"And the Lord said unto him, <font fgcolor=""#FF4444"">Now do ye Pharisees make clean the outside of the cup and the platter; but your inward part is full of ravening and wickedness.",,,,,,25684,42
25685,LUKE,11,40,"<font fgcolor=""#FF4444"">Ye fools, did not he that made that which is without make that which is within also?",,,,,,25685,42
25686,LUKE,11,41,"<font fgcolor=""#FF4444"">But rather give alms of such things as ye have; and, behold, all things are clean unto you.",,,,,,25686,42
25687,LUKE,11,42,"<font fgcolor=""#FF4444"">But woe unto you, Pharisees! for ye tithe mint and rue and all manner of herbs, and pass over judgment and the love of God: these ought ye to have done, and not to leave the other undone.",,,,,,25687,42
25688,LUKE,11,43,"<font fgcolor=""#FF4444"">Woe unto you, Pharisees! for ye love the uppermost seats in the synagogues, and greetings in the markets.",,,,,,25688,42
25689,LUKE,11,44,"<font fgcolor=""#FF4444"">Woe unto you, scribes and Pharisees, hypocrites! for ye are as graves which appear not, and the men that walk over them are not aware of them.",,,,,,25689,42
25690,LUKE,11,45,"Then answered one of the lawyers, and said unto him, Master, thus saying thou reproachest us also.",,,,,,25690,42
